requestSource,product,serviceRegion,requestType,focTarget
smartpath,professionalservices,nb,billinginquiry-invoiceexplanation,0.0
smartpath,businessinternetdedicated,mb,generalinquiry-serviceaddressinformation,0.0
smartpath,dedicatedinternetaccess,on,billinginquiry-otherbilling,0.0
smartpath,localaccesspackage,qc,coaching,0.0
kana,localaccesspackage,on,billinginquiry-otherbilling,0.0
smartpath,megalink,bc,generalinquiry-othergeneral,0.0
ssc,businessinternetdedicated,west,generalinquiry-feasibilityinformation,0.0
smartpath,directorylisting,qc,glct,0.0
ssc,ipvpn,west,generalinquiry-othergeneral,0.0
smartpath,tollfree,qc,disconnect,0.0
smartpath,btce,qc,generalinquiry-othergeneral,0.0
smartpath,megalink,bc,new,0.0
smartpath,tollfree,intl,billinginquiry-billingaccountupdate,0.0
smartpath,datalegacy,on,billinginquiry-billingaccountupdate,0.0
smartpath,msos365,on,add,0.0
smartpath,businesslines,on,billinginquiry-banrequest,0.0
kana,siptrunk,ab,generalinquiry-othergeneral,0.0
smartpath,locallink,qc,billinginquiry-otherbilling,0.0
smartpath,wavelength,on,billinginquiry-otherbilling,0.0
smartpath,btce,mb,generalinquiry-othergeneral,0.0
smartpath,tollfree,on,billinginquiry-billingaccountupdate,0.0
smartpath,businessinternetbrokered,mb,add,0.0
smartpath,businesslines,ab,generalinquiry-serviceaddressinformation,0.0
smartpath,businessinternetdedicated,on,billinginquiry-copyofinvoice,0.0
smartpath,corporatehardwareorders,on,new,0.0
smartpath,siptrunk,nb,migration,0.0
ssc,businesslines,east,billinginquiry-otherbilling,0.0
smartpath,siptrunk,qc,generalinquiry-accountcontractupdate,0.0
smartpath,businessinternetdedicated,west,add,0.0
ssc,tollfree,west,billinginquiry-billingaccountupdate,0.0
ssc,businesslines,nl,generalinquiry-serviceaddressinformation,0.0
smartpath,ethernetinternetworkinglite,qc,coaching,0.0
smartpath,businessinternetbrokered,ns,coaching,0.0
smartpath,businesslines,west,change,0.0
smartpath,megalink,bc,generalinquiry-directinwardcalling,0.0
smartpath,managedservices,sk,add,0.0
smartpath,businessinternet,bc,billinginquiry-otherbilling,0.0
smartpath,locallink,qc,generalinquiry-reseller,0.0
smartpath,siptrunk,on,coaching,0.0
ssc,megalink,ns,generalinquiry-copyofequipmentrecord,0.0
smartpath,sap,qc,new,0.0
smartpath,ethernetaccessservice,on,disconnect,0.0
smartpath,globalipvpn,east,billinginquiry-invoiceexplanation,0.0
ssc,tollfree,intl,add,0.0
smartpath,businesslines,qc,facilitycheck,0.0
smartpath,broadband,bc,agreementcreationcomplex,0.0
ssc,megalink,bc,generalinquiry-othergeneral,0.0
ssc,ipvpn,nb,disconnect,0.0
smartpath,btce,ns,billinginquiry-balancetransferpaymentupdate,0.0
smartpath,businesslines,nb,pricing,0.0
smartpath,businessinternetdedicated,on,generalinquiry-othergeneral,0.0
ssc,megalink,west,billinginquiry-billingaccountupdate,0.0
smartpath,ethernet,ab,move,0.0
smartpath,directorylisting,qc,generalinquiry-pricingconfirmation,0.0
ssc,ipvpn,intl,generalinquiry-pricingconfirmation,0.0
ssc,businessinternet,qc,generalinquiry-transferresponsibility,0.0
smartpath,businessinternetdedicated,on,migration,0.0
smartpath,ondemandcontactcentre,bc,billinginquiry-balancetransferpaymentupdate,0.0
smartpath,broadband,ns,generalinquiry-othergeneral,0.0
smartpath,businesslines,mb,billinginquiry-balancetransferpaymentupdate,0.0
smartpath,digitalprivateline,on,generalinquiry-othergeneral,0.0
smartpath,businesslines,ab,billinginquiry-copyofinvoice,0.0
smartpath,resellerinternet,bc,escpartner,0.0
pss,ipvpn,on,generalinquiry-othergeneral,0.0
ssc,centrex,west,billinginquiry-invoiceexplanation,0.0
smartpath,centrex,west,reconnection,0.0
smartpath,datalegacy,nl,disconnect,0.0
ssc,eip,on,billinginquiry-otherbilling,0.0
ssc,btce,qc,generalinquiry-accountcontractupdate,0.0
pwo,businessinternetbrokered,bc,facilitycheck,0.0
smartpath,centrex,on,agreementcreation,0.0
ssc,siptrunk,west,generalinquiry-transferresponsibility,0.0
smartpath,businessinternet,qc,billinginquiry-otherbilling,0.0
smartpath,businessinternetbrokered,east,coaching,0.0
smartpath,corporateaccountservice,on,accountservicerep,0.0
ssc,megalink,qc,generalinquiry-directinwardcalling,0.0
pss,businesslines,on,generalinquiry-othergeneral,0.0
smartpath,eip,ab,coaching,0.0
pwo,businessinternetbrokered,east,new,0.0
smartpath,businesslines,on,icreditrequest,0.0
ssc,siptrunk,qc,billinginquiry-invoiceexplanation,0.0
ssc,tollfree,west,billinginquiry-otherbilling,0.0
smartpath,megalink,nl,change,0.0
ssc,ethernet,on,billinginquiry-balancetransferpaymentupdate,0.0
smartpath,corporateaccountservice,on,hardwareordercancel,0.0
smartpath,globalipvpn,on,coaching,0.0
smartpath,wavelength,on,agreementregistered,0.0
smartpath,centrex,west,coaching,0.0
smartpath,sap,qc,add,0.0
smartpath,eip,bc,change,0.0
smartpath,msos365,on,billinginquiry-invoiceexplanation,0.0
smartpath,businessinternetbrokered,qc,generalinquiry-accountcontractupdate,0.0
smartpath,tollfree,east,change,0.0
kana,webhosting,on,generalinquiry-othergeneral,0.0
ssc,siptrunk,mb,generalinquiry-serviceaddressinformation,0.0
pss,businesslines,on,generalinquiry-accountcontractupdate,0.0
ssc,ipvpn,qc,billinginquiry-incorrectrate,0.0
smartpath,sap,nb,billinginquiry-invoiceexplanation,0.0
smartpath,msos365,qc,billinginquiry-balancetransferpaymentupdate,0.0
ssc,tollfree,on,generalinquiry-feasibilityinformation,0.0
smartpath,businessinternetdedicated,on,billinginquiry-incorrectrate,0.0
ssc,otherdataservices,west,generalinquiry-copyofequipmentrecord,0.0
smartpath,businessinternet,qc,disconnect,0.0
smartpath,vnet,on,billinginquiry-otherbilling,0.0
smartpath,megalink,qc,billinginquiry-invoiceexplanation,0.0
ssc,megalink,on,generalinquiry-accountcontractupdate,0.0
smartpath,managedsecurityservices,qc,agreementregistered,0.0
smartpath,centrex,pe,billinginquiry-copyofinvoice,0.0
smartpath,localaccesspackage,qc,billinginquiry-copyofinvoice,0.0
ssc,ethernet,qc,generalinquiry-transferresponsibility,0.0
smartpath,directorylisting,on,generalinquiry-directorylistings,0.0
ssc,businessinternet,qc,billinginquiry-billingaccountupdate,0.0
smartpath,businesslines,on,serviceassurance,0.0
smartpath,corporateselfservetools,on,generalservicerequest,0.0
smartpath,ipvpn,qc,generalinquiry-transferresponsibility,0.0
ssc,ethernet,qc,generalinquiry-accountcontractupdate,0.0
smartpath,corporatehardwareorders,on,pricechange,0.0
kana,tollfree,ns,disconnect,0.0
smartpath,siptrunk,west,disconnect,0.0
ssc,digitalprivateline,qc,generalinquiry-othergeneral,0.0
smartpath,btce,qc,generalinquiry-transferresponsibility,0.0
ssc,locallink,on,billinginquiry-otherbilling,0.0
smartpath,infrastructureservices,qc,billinginquiry-otherbilling,0.0
smartpath,professionalservices,qc,billinginquiry-invoiceexplanation,0.0
smartpath,siptrunk,mb,coaching,0.0
ssc,businessinternet,ab,generalinquiry-pricingconfirmation,0.0
smartpath,ethernet,on,generalinquiry-pricingconfirmation,0.0
smartpath,switchredirect,on,coaching,0.0
smartpath,btce,mb,coaching,0.0
smartpath,corporatebillinginquiries,on,hardwareorderchange,0.0
kana,businessinternetdedicated,qc,generalinquiry-serviceaddressinformation,0.0
ssc,megalink,on,billinginquiry-balancetransferpaymentupdate,0.0
smartpath,businessinternetdedicated,west,billinginquiry-invoiceexplanation,0.0
ssc,btce,nb,disconnect,0.0
smartpath,infrastructureservices,qc,billinginquiry-invoiceexplanation,0.0
smartpath,wavelength,qc,generalinquiry-accountcontractupdate,0.0
smartpath,tollfree,west,coaching,0.0
ssc,businessinternet,qc,billinginquiry-incorrectrate,0.0
ssc,tollfree,nb,change,0.0
ssc,businesslines,nl,move,0.0
smartpath,corporatehardwareinquiries,qc,hardwareorderchange,0.0
smartpath,ethernet,ab,billinginquiry-copyofinvoice,0.0
smartpath,corporatehardwareorders,qc,requestimei,0.0
ssc,otherdataservices,on,generalinquiry-othergeneral,0.0
smartpath,sap,nb,coaching,0.0
ssc,tollfree,qc,generalinquiry-feasibilityinformation,0.0
smartpath,tollfree,west,disconnect,0.0
smartpath,centrex,ab,disconnect,0.0
smartpath,nddos,on,billinginquiry-otherbilling,0.0
smartpath,webex,qc,generalinquiry-othergeneral,0.0
smartpath,businessinternetdedicated,ab,generalinquiry-copyofequipmentrecord,0.0
ssc,siptrunk,on,billinginquiry-copyofinvoice,0.0
smartpath,otherdataservices,qc,disconnect,0.0
smartpath,businessinternet,ns,add,0.0
smartpath,msos365,on,generalinquiry-othergeneral,0.0
smartpath,datalegacy,qc,facilitycheck,0.0
ssc,ethernet,west,generalinquiry-othergeneral,0.0
smartpath,microlink,nb,billinginquiry-otherbilling,0.0
smartpath,siptrunk,nl,migration,0.0
smartpath,ipvpn,sk,coaching,0.0
smartpath,megalink,on,billinginquiry-obmsupport,0.0
smartpath,centrex,nb,change,0.0
ssc,digitalprivateline,qc,billinginquiry-billingaccountupdate,0.0
ssc,ethernet,qc,billinginquiry-incorrectrate,0.0
smartpath,tollfree,qc,move,0.0
smartpath,businesslines,on,generalinquiry-othergeneral,0.0
smartpath,siptrunk,qc,migration,0.0
ssc,siptrunk,qc,generalinquiry-transferresponsibility,0.0
ssc,centrex,west,generalinquiry-othergeneral,0.0
ssc,tollfree,qc,add,0.0
smartpath,locallink,on,billinginquiry-copyofinvoice,0.0
smartpath,payphone,qc,billinginquiry-invoiceexplanation,0.0
ssc,btce,west,generalinquiry-accountcontractupdate,0.0
ssc,siptrunk,bc,generalinquiry-directinwardcalling,0.0
ssc,siptrunk,west,generalinquiry-serviceaddressinformation,0.0
ssc,businessinternet,pe,disconnect,0.0
smartpath,vnet,on,generalinquiry-othergeneral,0.0
smartpath,siptrunk,nb,add,0.0
ssc,megalink,bc,generalinquiry-pricingconfirmation,0.0
smartpath,siptrunk,qc,generalinquiry-transferresponsibility,0.0
ssc,siptrunk,qc,generalinquiry-pricingconfirmation,0.0
smartpath,infrastructureservices,on,agreementregistered,0.0
smartpath,ipvpn,qc,agreementcreationvalidated,0.0
smartpath,tollfree,qc,change,0.0
ssc,tollfree,on,generalinquiry-pricingconfirmation,0.0
smartpath,siptrunk,mb,change,0.0
smartpath,switchredirect,qc,new,0.0
smartpath,webcasting,on,generalinquiry-othergeneral,0.0
smartpath,centrex,ns,generalinquiry-pricingconfirmation,0.0
ssc,btce,west,billinginquiry-otherbilling,0.0
smartpath,siptrunk,ns,generalinquiry-othergeneral,0.0
ssc,tollfree,west,generalinquiry-serviceaddressinformation,0.0
smartpath,siptrunk,on,move,0.0
smartpath,siptrunk,nb,new,0.0
smartpath,globalipvpn,on,billinginquiry-invoiceexplanation,0.0
ssc,ipvpn,on,billinginquiry-otherbilling,0.0
ssc,siptrunk,qc,generalinquiry-directinwardcalling,0.0
ssc,businesslines,bc,generalinquiry-serviceaddressinformation,0.0
ssc,digitalprivateline,qc,disconnect,0.0
ssc,btce,qc,generalinquiry-pricingconfirmation,0.0
ssc,wavelength,west,change,0.0
ssc,locallink,bc,generalinquiry-copyofequipmentrecord,0.0
smartpath,datalegacy,west,disconnect,0.0
smartpath,megalink,ab,generalinquiry-accountcontractupdate,0.0
smartpath,managedservices,qc,coaching,0.0
smartpath,msos365,qc,generalinquiry-othergeneral,0.0
smartpath,resellerbusinesslines,west,generalinquiry-othergeneral,0.0
ssc,otherdataservices,west,billinginquiry-otherbilling,0.0
smartpath,megalink,qc,billinginquiry-dispute,0.0
smartpath,businessinternet,east,agreementregistered,0.0
smartpath,tollfree,on,generalinquiry-copyofequipmentrecord,0.0
ssc,businesslines,bc,generalinquiry-transferresponsibility,0.0
smartpath,sap,west,billinginquiry-otherbilling,0.0
ssc,tollfree,on,generalinquiry-accountcontractupdate,0.0
ssc,tollfree,intl,generalinquiry-transferresponsibility,0.0
smartpath,dryloopdsl,on,billinginquiry-balancetransferpaymentupdate,0.0
smartpath,payphone,on,disconnect,0.0
ssc,megalink,west,billinginquiry-copyofinvoice,0.0
smartpath,businesslines,on,agreementcreation,0.0
ssc,wavelength,qc,generalinquiry-othergeneral,0.0
ssc,locallink,on,generalinquiry-copyofequipmentrecord,0.0
ssc,btce,ns,disconnect,0.0
ssc,ipvpn,on,generalinquiry-copyofequipmentrecord,0.0
smartpath,resellerinternet,on,escpartner,0.0
smartpath,tollfree,qc,generalinquiry-accountcontractupdate,0.0
smartpath,vnet,qc,billinginquiry-custombill,0.0
ssc,tollfree,west,change,0.0
smartpath,ondemandcontactcentre,nb,migration,0.0
ssc,tollfree,nb,add,0.0
smartpath,megalink,qc,dals,0.0
smartpath,globalipvpn,qc,coaching,0.0
ssc,btce,on,billinginquiry-billingaccountupdate,0.0
ssc,businesslines,ns,disconnect,0.0
smartpath,businessinternet,yt,disconnect,0.0
smartpath,vnet,on,change,0.0
smartpath,internalteamsupport,on,accountservicerep,0.0
smartpath,centrex,west,generalinquiry-othergeneral,0.0
smartpath,managedservices,qc,generalinquiry-othergeneral,0.0
ssc,siptrunk,west,generalinquiry-directinwardcalling,0.0
smartpath,ethernetaccessservice,qc,change,0.0
smartpath,localaccesspackage,qc,disconnect,0.0
ssc,tollfree,qc,billinginquiry-balancetransferpaymentupdate,0.0
ssc,btce,on,generalinquiry-directinwardcalling,0.0
smartpath,tollfree,on,move,0.0
ssc,businesslines,qc,generalinquiry-directinwardcalling,0.0
smartpath,megalink,on,billinginquiry-incorrectrate,0.0
smartpath,virtualnetworkservices,nb,temporaryservice,0.0
ssc,tollfree,bc,generalinquiry-othergeneral,0.0
ssc,businesslines,west,billinginquiry-incorrectrate,0.0
smartpath,megalink,west,migration,0.0
ssc,tollfree,qc,generalinquiry-copyofequipmentrecord,0.0
smartpath,ondemandcontactcentre,on,billinginquiry-invoiceexplanation,0.0
smartpath,megalink,west,generalinquiry-directinwardcalling,0.0
ssc,businesslines,qc,generalinquiry-directorylistings,0.0
smartpath,tollfree,on,billinginquiry-dispute,0.0
smartpath,businessinternetdedicated,pe,generalinquiry-accountcontractupdate,0.0
ssc,ethernet,bc,add,0.0
smartpath,tollfree,ns,disconnect,0.0
ssc,businessinternet,qc,generalinquiry-accountcontractupdate,0.0
ssc,megalink,qc,generalinquiry-pricingconfirmation,0.0
ssc,btce,west,generalinquiry-transferresponsibility,0.0
ssc,tollfree,nl,change,0.0
smartpath,vnet,qc,generalinquiry-othergeneral,0.0
ssc,btce,on,billinginquiry-copyofinvoice,0.0
ssc,megalink,qc,billinginquiry-billingaccountupdate,0.0
smartpath,professionalservices,east,coaching,0.0
ssc,businessinternet,on,generalinquiry-accountcontractupdate,0.0
ssc,businessinternet,qc,billinginquiry-copyofinvoice,0.0
ssc,businessinternet,west,billinginquiry-billingaccountupdate,0.0
ssc,siptrunk,on,billinginquiry-otherbilling,0.0
ssc,centrex,west,billinginquiry-copyofinvoice,0.0
ssc,businesslines,west,generalinquiry-directinwardcalling,0.0
ssc,megalink,bc,generalinquiry-serviceaddressinformation,0.0
smartpath,professionalservices,east,billinginquiry-balancetransferpaymentupdate,0.0
ssc,businesslines,qc,billinginquiry-otherbilling,0.0
ssc,ethernet,qc,change,0.0
smartpath,megalink,qc,migration,0.0
ssc,onenet,on,generalinquiry-othergeneral,0.0
smartpath,localaccesspackage,qc,generalinquiry-pricingconfirmation,0.0
ssc,businesslines,bc,change,0.0
smartpath,datalegacy,on,billinginquiry-invoiceexplanation,0.0
ssc,megalink,on,generalinquiry-directorylistings,0.0
smartpath,tollfree,mb,coaching,0.0
ssc,ipvpn,qc,billinginquiry-invoiceexplanation,0.0
ssc,eip,on,generalinquiry-othergeneral,0.0
ssc,ethernet,west,billinginquiry-otherbilling,0.0
smartpath,wavelength,bc,generalinquiry-othergeneral,0.0
ssc,tollfree,on,billinginquiry-copyofinvoice,0.0
ssc,otherdataservices,west,billinginquiry-incorrectrate,0.0
smartpath,siptrunk,ab,winback,0.0
ssc,siptrunk,west,billinginquiry-balancetransferpaymentupdate,0.0
ssc,wavelength,qc,billinginquiry-copyofinvoice,0.0
ssc,tollfree,qc,generalinquiry-othergeneral,0.0
ssc,locallink,qc,billinginquiry-otherbilling,0.0
ssc,otherdataservices,on,generalinquiry-copyofequipmentrecord,0.0
ssc,btce,on,disconnect,0.0
ssc,megalink,on,generalinquiry-copyofequipmentrecord,0.0
ssc,tollfree,qc,generalinquiry-accountcontractupdate,0.0
ssc,centrex,on,generalinquiry-othergeneral,0.0
ssc,tollfree,intl,generalinquiry-feasibilityinformation,0.0
ssc,ipvpn,qc,billinginquiry-otherbilling,0.0
ssc,otherdataservices,qc,billinginquiry-incorrectrate,0.0
smartpath,saput,qc,change,0.0
ssc,businesslines,qc,billinginquiry-invoiceexplanation,0.0
ssc,siptrunk,qc,billinginquiry-copyofinvoice,0.0
ssc,megalink,on,generalinquiry-feasibilityinformation,0.0
ssc,locallink,qc,generalinquiry-accountcontractupdate,0.0
smartpath,megalink,west,billinginquiry-balancetransferpaymentupdate,0.0
ssc,businessinternetdedicated,west,billinginquiry-otherbilling,0.0
ssc,centrex,ns,move,0.0
smartpath,siptrunk,on,winback,0.0
ssc,ipvpn,on,generalinquiry-serviceaddressinformation,0.0
ssc,businessinternet,on,billinginquiry-copyofinvoice,0.0
ssc,ethernet,on,billinginquiry-otherbilling,0.0
smartpath,vnet,on,billinginquiry-incorrectrate,0.0
ssc,centrex,qc,generalinquiry-transferresponsibility,0.0
smartpath,dryloopdsl,qc,billinginquiry-otherbilling,0.0
ssc,tollfree,on,billinginquiry-otherbilling,0.0
smartpath,globalipvpn,intl,billinginquiry-billingaccountupdate,0.0
smartpath,datalegacy,qc,generalinquiry-transferresponsibility,0.0
ssc,otherdataservices,qc,move,0.0
smartpath,ondemandcontactcentre,on,billinginquiry-incorrectrate,0.0
ssc,businesslines,east,generalinquiry-transferresponsibility,0.0
smartpath,businesslines,west,generalinquiry-accountcontractupdate,0.0
smartpath,tollfree,pe,generalinquiry-othergeneral,0.0
smartpath,globalipvpn,qc,billinginquiry-balancetransferpaymentupdate,0.0
ssc,businessinternetdedicated,qc,billinginquiry-otherbilling,0.0
smartpath,msos365,qc,change,0.0
ssc,locallink,qc,disconnect,0.0
smartpath,microlink,on,generalinquiry-transferresponsibility,0.0
ssc,businessinternet,west,billinginquiry-copyofinvoice,0.0
smartpath,webex,on,coaching,0.0
smartpath,ondemandcontactcentre,east,billinginquiry-otherbilling,0.0
smartpath,centrex,nl,billinginquiry-copyofinvoice,0.0
ssc,otherdataservices,west,generalinquiry-serviceaddressinformation,0.0
smartpath,webex,on,billinginquiry-otherbilling,0.0
ssc,otherdataservices,on,billinginquiry-incorrectrate,0.0
smartpath,globalipvpn,on,agreementcreation,0.0
ssc,wavelength,on,billinginquiry-balancetransferpaymentupdate,0.0
smartpath,tollfree,on,generalinquiry-accountcontractupdate,0.0
smartpath,sap,on,disconnect,0.0
smartpath,megalink,bc,generalinquiry-copyofequipmentrecord,0.0
ssc,ethernet,qc,generalinquiry-othergeneral,0.0
smartpath,managedservices,on,generalinquiry-othergeneral,0.0
smartpath,tollfree,nb,generalinquiry-othergeneral,0.0
ssc,businessinternetdedicated,on,generalinquiry-accountcontractupdate,0.0
ssc,locallink,qc,generalinquiry-serviceaddressinformation,0.0
smartpath,siptrunk,bc,generalinquiry-accountcontractupdate,0.0
smartpath,megalink,qc,portout,0.0
ssc,businessinternetdedicated,qc,generalinquiry-accountcontractupdate,0.0
smartpath,saput,qc,billinginquiry-incorrectrate,0.0
smartpath,switchredirect,on,new,0.0
smartpath,tollfreeinternational,qc,add,0.0
smartpath,msos365,on,disconnect,0.0
smartpath,msos365,on,billinginquiry-copyofinvoice,0.0
smartpath,tollfree,bc,billinginquiry-copyofinvoice,0.0
ssc,businesslines,bc,generalinquiry-othergeneral,0.0
smartpath,tollfree,west,billinginquiry-otherbilling,0.0
ssc,megalink,bc,add,0.0
ssc,globalbusinessinternetdedicated,intl,add,0.0
ssc,megalink,pe,disconnect,0.0
ssc,businesslines,on,billinginquiry-invoiceexplanation,0.0
smartpath,tollfree,qc,billinginquiry-otherbilling,0.0
ssc,tollfree,qc,billinginquiry-copyofinvoice,0.0
smartpath,vnet,on,add,0.0
ssc,btce,nb,generalinquiry-othergeneral,0.0
ssc,tollfree,qc,billinginquiry-otherbilling,0.0
smartpath,wavelength,intl,generalinquiry-othergeneral,0.0
ssc,businessinternetdedicated,west,billinginquiry-billingaccountupdate,0.0
ssc,locallink,on,change,0.0
smartpath,datalegacy,ab,billinginquiry-copyofinvoice,0.0
ssc,btce,qc,generalinquiry-copyofequipmentrecord,0.0
smartpath,globalbusinessinternetservice,intl,add,0.0
smartpath,businesslines,nl,pinreset,0.0
smartpath,businesslines,west,generalinquiry-copyofequipmentrecord,0.0
smartpath,saput,on,change,0.0
ssc,businessinternet,ns,add,0.0
ssc,businessinternetdedicated,west,generalinquiry-othergeneral,0.0
smartpath,globalipvpn,on,agreementregistered,0.0
pss,locallink,qc,generalinquiry-othergeneral,0.0
ssc,businesslines,east,generalinquiry-othergeneral,0.0
smartpath,conferencingservices,ab,generalinquiry-othergeneral,0.0
ssc,businessinternet,qc,generalinquiry-othergeneral,0.0
ssc,businesslines,ns,generalinquiry-serviceaddressinformation,0.0
ssc,ethernet,qc,generalinquiry-serviceaddressinformation,0.0
smartpath,wavelength,on,facilitycheck,0.0
smartpath,dedicatedinternetaccess,on,generalinquiry-accountcontractupdate,0.0
smartpath,megalink,ab,generalinquiry-directinwardcalling,0.0
ssc,megalink,west,generalinquiry-othergeneral,0.0
ssc,btce,west,generalinquiry-copyofequipmentrecord,0.0
smartpath,megalink,mb,coaching,0.0
smartpath,dryloopdsl,east,billinginquiry-balancetransferpaymentupdate,0.0
smartpath,businessinternet,pe,billinginquiry-dispute,0.0
smartpath,businesslines,nu,generalinquiry-othergeneral,0.0
smartpath,businessinternetdedicated,west,billinginquiry-copyofinvoice,0.0
smartpath,siptrunk,on,generalinquiry-feasibilityinformation,0.0
smartpath,microlink,nl,generalinquiry-othergeneral,0.0
smartpath,siptrunk,bc,generalinquiry-copyofequipmentrecord,0.0
smartpath,sap,qc,billinginquiry-dispute,0.0
smartpath,siptrunk,ns,portout,0.0
ssc,businessinternetdedicated,east,change,0.0
pwo,businessinternetbrokered,ns,new,0.0
ssc,ipvpn,qc,generalinquiry-serviceaddressinformation,0.0
ssc,btce,on,generalinquiry-directorylistings,0.0
smartpath,siptrunk,ab,change,0.0
ssc,btce,qc,generalinquiry-directinwardcalling,0.0
smartpath,siptrunk,west,billinginquiry-otherbilling,0.0
smartpath,megalink,mb,disconnect,0.0
smartpath,directorylisting,ab,change,0.0
smartpath,businessinternetdedicated,on,agreementregistered,0.0
ssc,businessinternetdedicated,on,billinginquiry-incorrectrate,0.0
ssc,businessinternetdedicated,sk,add,0.0
smartpath,businesslines,qc,generalinquiry-othergeneral,0.0
smartpath,businesslines,sk,generalinquiry-accountcontractupdate,0.0
ssc,locallink,west,generalinquiry-copyofequipmentrecord,0.0
ssc,ipvpn,qc,move,0.0
smartpath,corporategeneralinquiries,on,inventoryavailability,0.0
ssc,businessinternetdedicated,on,generalinquiry-copyofequipmentrecord,0.0
smartpath,businesslines,ns,change,0.0
ssc,businessinternetdedicated,ab,generalinquiry-othergeneral,0.0
ssc,locallink,qc,generalinquiry-feasibilityinformation,0.0
smartpath,centrex,ns,billinginquiry-balancetransferpaymentupdate,0.0
ssc,otherdataservices,west,generalinquiry-othergeneral,0.0
ssc,businesslines,ns,move,0.0
smartpath,businessinternet,west,billinginquiry-invoiceexplanation,0.0
ssc,megalink,west,billinginquiry-incorrectrate,0.0
smartpath,businesslines,bc,generalinquiry-transferresponsibility,0.0
smartpath,infrastructureservices,on,coaching,0.0
kana,megalink,west,billinginquiry-otherbilling,0.0
smartpath,megalink,on,disconnect,0.0
smartpath,wavelength,bc,facilitycheck,0.0
smartpath,businesslines,nb,billinginquiry-invoiceexplanation,0.0
smartpath,businesslines,ns,pinreset,0.0
smartpath,tollfreeinternational,on,change,0.0
smartpath,siptrunk,on,billinginquiry-invoiceexplanation,0.0
ssc,btce,qc,generalinquiry-serviceaddressinformation,0.0
pwo,siptrunk,west,agreementcreation,0.0
ssc,businessinternetdedicated,qc,generalinquiry-othergeneral,0.0
smartpath,ipvpn,bc,billinginquiry-copyofinvoice,0.0
ssc,btce,on,generalinquiry-transferresponsibility,0.0
smartpath,ondemandcontactcentre,on,generalinquiry-othergeneral,0.0
ssc,locallink,east,generalinquiry-othergeneral,0.0
smartpath,nddos,bc,billinginquiry-copyofinvoice,0.0
ssc,businessinternet,qc,generalinquiry-feasibilityinformation,0.0
smartpath,megalink,nb,add,0.0
ssc,businessinternetdedicated,on,generalinquiry-othergeneral,0.0
smartpath,conferencingservices,on,billinginquiry-custombill,0.0
smartpath,wavelength,qc,generalinquiry-othergeneral,0.0
smartpath,corporategeneralinquiries,on,mobilenumberchange,0.0
smartpath,megalink,qc,pricing,0.0
smartpath,globalipvpn,on,billinginquiry-balancetransferpaymentupdate,0.0
ssc,otherdataservices,west,billinginquiry-balancetransferpaymentupdate,0.0
ssc,tollfree,east,generalinquiry-othergeneral,0.0
smartpath,tollfree,on,billinginquiry-copyofinvoice,0.0
smartpath,tollfree,bc,coaching,0.0
ssc,ethernet,on,billinginquiry-copyofinvoice,0.0
ssc,centrex,qc,billinginquiry-copyofinvoice,0.0
smartpath,wavelength,on,generalinquiry-transferresponsibility,0.0
smartpath,ipvpn,west,generalinquiry-accountcontractupdate,0.0
smartpath,wavelength,intl,coaching,0.0
smartpath,businessinternetbrokered,sk,disconnect,0.0
ssc,megalink,on,billinginquiry-incorrectrate,0.0
smartpath,managedservices,east,new,0.0
ssc,businesslines,ab,billinginquiry-otherbilling,0.0
smartpath,centrex,nl,pinreset,0.0
ssc,businessinternetdedicated,qc,generalinquiry-transferresponsibility,0.0
smartpath,payphone,on,change,0.0
ssc,ipvpn,bc,generalinquiry-othergeneral,0.0
ssc,ipvpn,qc,generalinquiry-transferresponsibility,0.0
smartpath,siptrunk,ab,billinginquiry-otherbilling,0.0
smartpath,vnet,west,billinginquiry-incorrectrate,0.0
smartpath,ethernet,bc,generalinquiry-serviceaddressinformation,0.0
ssc,ipvpn,on,generalinquiry-pricingconfirmation,0.0
ssc,otherdataservices,qc,generalinquiry-serviceaddressinformation,0.0
ssc,businesslines,on,generalinquiry-directorylistings,0.0
smartpath,virtualnetworkservices,on,generalinquiry-othergeneral,0.0
smartpath,broadband,qc,add,0.0
smartpath,directorylisting,qc,billinginquiry-obmsupport,0.0
smartpath,tollfree,qc,coaching,0.0
smartpath,ondemandcontactcentre,mb,change,0.0
smartpath,datalegacy,ab,billinginquiry-otherbilling,0.0
smartpath,ethernet,east,change,0.0
smartpath,ondemandcontactcentre,nl,new,0.0
ssc,wavelength,on,billinginquiry-incorrectrate,0.0
ssc,businesslines,qc,billinginquiry-incorrectrate,0.0
smartpath,videoconferencing,qc,billinginquiry-invoiceexplanation,0.0
smartpath,saput,qc,billinginquiry-otherbilling,0.0
ssc,businessinternetdedicated,on,billinginquiry-otherbilling,0.0
pwo,businessinternetbrokered,qc,facilitycheck,0.0
smartpath,siptrunk,bc,add,0.0
smartpath,wirelessbackupbis,qc,add,0.0
smartpath,directorylisting,on,glct,0.0
smartpath,businesslines,ns,billinginquiry-invoiceexplanation,0.0
ssc,businesslines,west,generalinquiry-pricingconfirmation,0.0
ssc,ethernet,on,generalinquiry-feasibilityinformation,0.0
ssc,businessinternetdedicated,nl,change,0.0
smartpath,ethernetaccessservice,east,generalinquiry-copyofequipmentrecord,0.0
smartpath,ethernet,ab,change,0.0
ssc,ethernet,on,generalinquiry-othergeneral,0.0
