requestSource,product,serviceRegion,requestType,focTarget
smartpath,corporategeneralinquiries,on,technicalsupport,0.0
smartpath,broadband,pe,billinginquiry-otherbilling,0.0
smartpath,businessinternet,qc,reconnection,0.0
kana,businesslines,nl,disconnect,0.0
smartpath,megalink,pe,add,0.0
smartpath,businesslines,on,billinginquiry-invoiceexplanation,0.0
pss,businesslines,west,billinginquiry-billingaccountupdate,0.0
smartpath,digitalprivateline,qc,glct,0.0
pss,datalegacy,on,disconnect,0.0
kana,businessinternetdedicated,on,generalinquiry-othergeneral,0.0
pss,businessinternet,qc,billinginquiry-copyofinvoice,0.0
smartpath,sap,on,coaching,0.0
smartpath,businessinternetbrokered,on,billinginquiry-balancetransferpaymentupdate,0.0
smartpath,corporatehardwareorders,ns,hardwareorderchange,0.0
pss,localaccesspackage,on,move,0.0
smartpath,siptrunk,ab,generalinquiry-othergeneral,0.0
pss,datalegacy,qc,disconnect,0.0
smartpath,btce,west,coaching,0.0
smartpath,tollfree,qc,billinginquiry-copyofinvoice,0.0
eom,businessinternet,qc,project,0.0
smartpath,businessinternet,qc,billinginquiry-invoiceexplanation,0.0
ssc,businesslines,ab,billinginquiry-copyofinvoice,0.0
ssc,businessinternet,qc,generalinquiry-pricingconfirmation,0.0
smartpath,corporateaccountservice,on,changesim,0.0
kana,businessinternetbrokered,on,billinginquiry-otherbilling,0.0
kana,megalink,west,move,0.0
smartpath,globalipvpn,on,billinginquiry-copyofinvoice,0.0
smartpath,audioconferencing,on,billinginquiry-dispute,0.0
smartpath,corporatereporting,on,serviceandrepair,0.0
smartpath,businessinternet,qc,billinginquiry-incorrectrate,0.0
ssc,centrex,on,generalinquiry-serviceaddressinformation,0.0
smartpath,professionalservices,west,coaching,0.0
ssc,businesslines,qc,generalinquiry-pricingconfirmation,0.0
smartpath,broadband,on,generalinquiry-pricingconfirmation,0.0
smartpath,globalipvpn,qc,disconnect,0.0
ssc,locallink,west,billinginquiry-copyofinvoice,0.0
ssc,businesslines,nl,disconnect,0.0
email,corporatehardwareorders,nl,changesim,0.0
ssc,businessinternet,mb,generalinquiry-othergeneral,0.0
kana,businesslines,ab,generalinquiry-othergeneral,0.0
kana,tollfree,on,billinginquiry-otherbilling,0.0
smartpath,businessinternet,on,disconnect,0.0
smartpath,tollfree,nl,disconnect,0.0
smartpath,megalink,east,billinginquiry-otherbilling,0.0
pss,audioconferencing,on,billinginquiry-otherbilling,0.0
smartpath,centrex,west,disconnect,0.0
smartpath,businessinternetbrokered,ab,billinginquiry-invoiceexplanation,0.0
smartpath,businesslines,nl,billinginquiry-dispute,0.0
smartpath,megalink,ab,billinginquiry-otherbilling,0.0
ssc,businesslines,pe,disconnect,0.0
smartpath,ondemandcontactcentre,on,add,0.0
kana,localaccesspackage,on,generalinquiry-othergeneral,0.0
email,wavelength,intl,billinginquiry-obmsupport,0.0
ssc,centrex,qc,billinginquiry-incorrectrate,0.0
kana,tollfree,on,generalinquiry-feasibilityinformation,0.0
smartpath,businessinternet,on,generalinquiry-portout,0.0
smartpath,businesslines,nl,billinginquiry-otherbilling,0.0
ssc,businessinternet,west,billinginquiry-incorrectrate,0.0
kana,businessinternet,qc,generalinquiry-serviceaddressinformation,0.0
pwo,businessinternet,on,billinginquiry-otherbilling,0.0
smartpath,tollfree,on,generalinquiry-serviceaddressinformation,0.0
smartpath,ipvpn,ns,generalinquiry-othergeneral,0.0
kana,businessinternetdedicated,west,move,0.0
smartpath,corporatehardwareinquiries,on,new,0.0
smartpath,sap,qc,billinginquiry-copyofinvoice,0.0
kana,saput,on,add,0.0
smartpath,megalink,qc,new,0.0
smartpath,centrex,on,billinginquiry-copyofinvoice,0.0
smartpath,tollfree,on,billinginquiry-incorrectrate,0.0
smartpath,datalegacy,on,generalinquiry-reseller,0.0
kana,datalegacy,qc,add,0.0
smartpath,datalegacy,ab,generalinquiry-serviceaddressinformation,0.0
eom,globalipvpn,intl,agreementcreationvalidated,0.0
kana,wavelength,intl,add,0.0
eom,businessinternetdedicated,west,facilitycheck,0.0
kana,ethernet,west,move,0.0
smartpath,conferencingservices,on,disconnect,0.0
smartpath,businessinternetdedicated,bc,billinginquiry-otherbilling,0.0
smartpath,businessinternet,west,generalinquiry-serviceaddressinformation,0.0
smartpath,ethernet,qc,agreementcreation,0.0
smartpath,datalegacy,west,change,0.0
smartpath,ipvpn,qc,billinginquiry-copyofinvoice,0.0
pss,tollfree,west,billinginquiry-otherbilling,0.0
smartpath,centrex,ns,disconnect,0.0
smartpath,businessinternetdedicated,qc,migration,0.0
smartpath,businessinternet,on,generalinquiry-accountcontractupdate,0.0
kana,centrex,on,move,0.0
kana,wavelength,intl,pricing,0.0
email,webex,qc,change,0.0
smartpath,businessinternet,nb,generalinquiry-accountcontractupdate,0.0
smartpath,megalink,ab,billinginquiry-copyofinvoice,0.0
smartpath,datalegacy,nb,generalinquiry-othergeneral,0.0
kana,megalink,qc,add,0.0
smartpath,tollfree,west,generalinquiry-othergeneral,0.0
eom,businessinternetdedicated,west,pcoesamedayexpedite,0.0
kana,broadband,on,3235,0.0
pss,switchredirect,on,generalinquiry-othergeneral,0.0
smartpath,broadcast,on,change,0.0
email,ondemandcontactcentre,nl,add,0.0
kana,msos365,on,change,0.0
email,ondemandcontactcentre,nb,generalinquiry-othergeneral,0.0
smartpath,managedsecurityservices,qc,disconnect,0.0
smartpath,payphone,on,billinginquiry-balancetransferpaymentupdate,0.0
kana,businesslines,qc,winback,0.0
kana,sap,west,billinginquiry-otherbilling,0.0
smartpath,centrex,on,billinginquiry-balancetransferpaymentupdate,0.0
eom,managedservices,on,escpartner,0.0
smartpath,ipvpn,bc,billinginquiry-incorrectrate,0.0
pss,businessinternetdedicated,qc,billinginquiry-copyofinvoice,0.0
ssc,businessinternet,qc,change,0.0
smartpath,businesslines,east,generalinquiry-serviceaddressinformation,0.0
smartpath,bandwidthselect,on,disconnect,0.0
smartpath,globalipvpn,west,change,0.0
smartpath,corporateselfservetools,on,nationaldistributionteam,0.0
kana,businessinternetbrokered,west,disconnect,0.0
smartpath,centrex,nb,move,0.0
smartpath,businesslines,west,billinginquiry-copyofinvoice,0.0
ssc,businesslines,on,billinginquiry-billingaccountupdate,0.0
pss,wavelength,on,generalinquiry-othergeneral,0.0
smartpath,tollfree,qc,generalinquiry-feasibilityinformation,0.0
ssc,businessinternet,nb,move,0.0
pss,sap,qc,generalinquiry-othergeneral,0.0
kana,businessinternetdedicated,qc,generalinquiry-transferresponsibility,0.0
smartpath,businessinternetdedicated,qc,billinginquiry-otherbilling,0.0
smartpath,dryloopdsl,on,billinginquiry-otherbilling,0.0
kana,tollfree,on,move,0.0
kana,ethernet,on,change,0.0
kana,businessinternet,qc,disconnect,0.0
kana,vnet,on,billinginquiry-invoiceexplanation,0.0
smartpath,businesslines,mb,new,0.0
eom,businessinternetbrokered,west,agreementcreationvalidated,0.0
smartpath,ethernet,ab,generalinquiry-othergeneral,0.0
kana,businesslines,pe,disconnect,0.0
kana,msos365,qc,generalinquiry-othergeneral,0.0
smartpath,btce,qc,migration,0.0
kana,businesslines,on,change,0.0
smartpath,businessinternet,nb,pinreset,0.0
kana,resellerinternet,qc,change,0.0
smartpath,managedsecurityservices,qc,generalinquiry-othergeneral,0.0
kana,datalegacy,qc,billinginquiry-copyofinvoice,0.0
ssc,businesslines,on,generalinquiry-accountcontractupdate,0.0
eom,businesslines,ab,escpartner,0.0
smartpath,saput,qc,billinginquiry-balancetransferpaymentupdate,0.0
smartpath,centrex,nb,new,0.0
eom,btce,on,facilitycheck,0.0
email,webex,qc,temporaryservice,0.0
kana,businesslines,mb,new,0.0
kana,businesslines,on,winback,0.0
email,datalegacy,west,change,0.0
smartpath,siptrunk,on,agreementcreation,0.0
eom,vnet,qc,generalinquiry-othergeneral,0.0
smartpath,businesslines,mb,billinginquiry-invoiceexplanation,0.0
kana,sap,qc,billinginquiry-otherbilling,0.0
smartpath,audioconferencing,qc,billinginquiry-balancetransferpaymentupdate,0.0
smartpath,businesslines,nb,generalinquiry-othergeneral,0.0
smartpath,ondemandcontactcentre,on,change,0.0
smartpath,megalink,qc,billinginquiry-balancetransferpaymentupdate,0.0
smartpath,eip,qc,coaching,0.0
smartpath,businessinternet,on,billinginquiry-dslpromo,0.0
pss,sap,on,add,0.0
smartpath,eip,qc,generalinquiry-othergeneral,0.0
smartpath,businesslines,nb,billinginquiry-billingaccountupdate,0.0
kana,wavelength,bc,generalinquiry-othergeneral,0.0
smartpath,businesslines,ab,billinginquiry-incorrectrate,0.0
smartpath,corporategeneralinquiries,on,requestimei,0.0
kana,directorylisting,qc,new,0.0
smartpath,globalprivateline,on,generalinquiry-pricingconfirmation,0.0
kana,businesslines,ab,3235,0.0
smartpath,webex,on,generalinquiry-othergeneral,0.0
ssc,locallink,on,billinginquiry-billingaccountupdate,0.0
email,wavelength,qc,add,0.0
ssc,btce,west,billinginquiry-invoiceexplanation,0.0
kana,megalink,qc,move,0.0
smartpath,businesslines,ab,billinginquiry-balancetransferpaymentupdate,0.0
smartpath,infrastructureservices,on,new,0.0
smartpath,businessinternetdedicated,ab,generalinquiry-accountcontractupdate,0.0
email,megalink,ab,generalinquiry-othergeneral,0.0
kana,saput,qc,change,0.0
ssc,businessinternet,on,billinginquiry-incorrectrate,0.0
smartpath,audioconferencing,on,billinginquiry-billingaccountupdate,0.0
smartpath,businessinternet,pe,generalinquiry-othergeneral,0.0
smartpath,businessinternetdedicated,mb,coaching,0.0
kana,tollfreeinternational,on,new,0.0
kana,centrex,on,billinginquiry-incorrectrate,0.0
ssc,globalbusinessinternetservice,intl,add,0.0
email,corporategeneralinquiries,on,status,0.0
kana,saput,on,new,0.0
smartpath,megalink,on,generalinquiry-feasibilityinformation,0.0
smartpath,broadband,west,billinginquiry-invoiceexplanation,0.0
kana,tollfreeinternational,west,change,0.0
smartpath,businesslines,nb,migration,0.0
kana,digitalprivateline,on,generalinquiry-othergeneral,0.0
email,warehousesupport,on,noactionrequired,0.0
smartpath,businessinternetbrokered,bc,new,0.0
smartpath,corporatehardwareinquiries,on,return,0.0
ssc,centrex,qc,billinginquiry-otherbilling,0.0
smartpath,centrex,on,reconnection,0.0
smartpath,siptrunk,west,generalinquiry-serviceaddressinformation,0.0
smartpath,localaccesspackage,on,billinginquiry-copyofinvoice,0.0
smartpath,ipvpn,ab,generalinquiry-othergeneral,0.0
smartpath,businessinternetdedicated,bc,generalinquiry-othergeneral,0.0
smartpath,ipvpn,qc,add,0.0
email,corporategeneralinquiries,on,change,0.0
pss,ethernet,on,billinginquiry-copyofinvoice,0.0
smartpath,conferencingservices,on,billinginquiry-otherbilling,0.0
smartpath,businessinternetdedicated,qc,billinginquiry-custombill,0.0
kana,digitalprivateline,on,change,0.0
email,videoconferencing,on,generalinquiry-othergeneral,0.0
kana,btce,on,generalinquiry-othergeneral,0.0
smartpath,businesslines,nb,billinginquiry-obmsupport,0.0
smartpath,broadband,west,add,0.0
pss,businesslines,ab,change,0.0
smartpath,businessinternetdedicated,pe,generalinquiry-othergeneral,0.0
smartpath,ethernetaccessservice,on,billinginquiry-otherbilling,0.0
kana,businessinternetbrokered,west,generalinquiry-othergeneral,0.0
kana,vnet,nb,change,0.0
eom,nice incontact cxone - powered by bell,on,agreementcreation,0.0
smartpath,directorylisting,on,migration,0.0
smartpath,corporatehardwareorders,qc,smartpathinquiry,0.0
pwo,businessinternetdedicated,qc,agreementcreation,0.0
pwo,businessinternetdedicated,ab,pcoesamedayexpedite,0.0
smartpath,businessinternet,on,billinginquiry-invoiceexplanation,0.0
smartpath,broadband,west,generalinquiry-othergeneral,0.0
smartpath,infrastructureservices,qc,generalinquiry-othergeneral,0.0
ssc,businessinternetdedicated,on,billinginquiry-invoiceexplanation,0.0
kana,btce,east,billinginquiry-otherbilling,0.0
email,ethernet,west,billinginquiry-otherbilling,0.0
smartpath,businessinternet,on,billinginquiry-obmsupport,0.0
smartpath,siptrunk,nl,disconnect,0.0
ssc,ipvpn,on,generalinquiry-transferresponsibility,0.0
smartpath,digitalprivateline,on,move,0.0
smartpath,businesslines,west,generalinquiry-directinwardcalling,0.0
email,ethernet,ns,new,0.0
kana,localaccesspackage,qc,change,0.0
kana,btce,pe,generalinquiry-othergeneral,0.0
smartpath,siptrunk,east,disconnect,0.0
smartpath,corporateaccountservice,on,upgrade,0.0
pwo,businessinternetbrokered,on,new,0.0
smartpath,ethernet,west,billinginquiry-otherbilling,0.0
eom,tollfree,on,agreementcreationvalidated,0.0
eom,broadband,on,facilitycheck,0.0
ssc,businesslines,on,generalinquiry-directinwardcalling,0.0
kana,businesslines,nl,new,0.0
kana,datalegacy,on,new,0.0
smartpath,saput,qc,disconnect,0.0
smartpath,webex,on,billinginquiry-dispute,0.0
eom,digitalprivateline,qc,agreementregistered,0.0
eom,ipvpn,qc,agreementcreation,0.0
smartpath,businessinternet,on,generalinquiry-reseller,0.0
smartpath,btce,bc,migration,0.0
smartpath,businessinternetbrokered,on,facilitycheck,0.0
kana,tollfreeinternational,qc,change,0.0
smartpath,businesslines,nb,billinginquiry-balancetransferpaymentupdate,0.0
smartpath,corporatereporting,on,orders,0.0
smartpath,centrex,ns,billinginquiry-otherbilling,0.0
smartpath,businesslines,west,billinginquiry-obmsupport,0.0
ssc,centrex,qc,billinginquiry-invoiceexplanation,0.0
kana,megalink,on,change,0.0
smartpath,businesslines,qc,billinginquiry-invoiceexplanation,0.0
pss,businesslines,qc,disconnect,0.0
smartpath,audioconferencing,bc,800features,0.0
kana,businessinternet,qc,billinginquiry-incorrectrate,0.0
smartpath,bellmerakimanagement,qc,coaching,0.0
smartpath,managedservices,qc,billinginquiry-otherbilling,0.0
kana,ondemandcontactcentre,on,generalinquiry-othergeneral,0.0
kana,eip,west,new,0.0
smartpath,localaccesspackage,west,generalinquiry-directinwardcalling,0.0
smartpath,btce,bc,winback,0.0
kana,ethernet,east,add,0.0
smartpath,corporateaccountservice,on,cancelsubscriber,0.0
smartpath,businessinternet,ab,generalinquiry-transferresponsibility,0.0
smartpath,centrex,on,add,0.0
kana,businessinternetdedicated,ab,change,0.0
smartpath,corporatehardwareorders,bc,upgrade,0.0
ssc,centrex,nb,generalinquiry-accountcontractupdate,0.0
smartpath,infrastructureservices,on,generalinquiry-othergeneral,0.0
eom,managedservices,east,agreementcreation,0.0
smartpath,broadcast,on,coaching,0.0
pss,centrex,ns,disconnect,0.0
smartpath,businessinternetdedicated,on,generalinquiry-directinwardcalling,0.0
smartpath,businesslines,pe,billinginquiry-custombill,0.0
pwo,businessinternetdedicated,on,facilitycheck,0.0
smartpath,megalink,bc,coaching,0.0
smartpath,infrastructureservices,on,change,0.0
smartpath,businessinternet,ns,change,0.0
smartpath,ethernetinternetworkinglite,on,coaching,0.0
ssc,tollfree,qc,billinginquiry-incorrectrate,0.0
email,managedsecurityservices,nb,add,0.0
pss,megalink,ab,change,0.0
eom,globalipvpn,west,agreementcreationvalidated,0.0
smartpath,corporateaccountservice,on,adjustments,0.0
smartpath,ipvpn,ab,add,0.0
smartpath,btce,on,portout,0.0
pss,megalink,west,billinginquiry-billingaccountupdate,0.0
ssc,megalink,qc,generalinquiry-copyofequipmentrecord,0.0
smartpath,globalipvpn,intl,move,0.0
eom,wavelength,on,escpartner,0.0
pss,centrex,qc,billinginquiry-copyofinvoice,0.0
pss,megalink,qc,generalinquiry-othergeneral,0.0
eom,wirelessbackupbis,on,generalinquiry-othergeneral,0.0
smartpath,audioconferencing,on,webcastproduction,0.0
smartpath,businessinternetbrokered,bc,generalinquiry-accountcontractupdate,0.0
smartpath,megalink,on,escpartner,0.0
kana,ondemandcontactcentre,west,change,0.0
kana,tollfree,west,generalinquiry-othergeneral,0.0
kana,sap,on,generalinquiry-transferresponsibility,0.0
smartpath,ethernet,qc,agreementregistered,0.0
smartpath,broadband,ns,change,0.0
smartpath,vnet,qc,billinginquiry-otherbilling,0.0
email,eip,ns,generalinquiry-othergeneral,0.0
smartpath,businesslines,west,coaching,0.0
smartpath,businessinternet,qc,facilitycheck,0.0
eom,virtualnetworkservices,on,pcoesamedayexpedite,0.0
eom,businessinternetbrokered,west,facilitycheck,0.0
eom,wavelength,west,agreementcreation,0.0
